Shop,Coca_Cola_price,Balaton_price,Address,District,Type,Working_Hours
Roni ABC,299,95,Bajcsy-Zsilinszky ut 15c,6,General store,0:00-24:00
Asia Diszkont,279,99,Bajcsy-Zsilinszky ut 66,6,Discount supermarket,09:00-19:00
Szuper Diszkont,280,70,Hajos utca 45,6,Variety store,09:00-21:00
Manna ABC,295,79,Podmaniczky u. 1-3,6,General store,0:00-24:00
Ázsia Diszkont ,250,100,Bajcsy-Zsilinszky út 59,6,Discount supermarket,09:00-19:00
LIDL,219,79,Bajcsy-Zsilinszky út 61,6,Discount supermarket,07:00-21:00
ALDI,229,79,Vaci ut 14,6,Grocery store,06:30-22:00
Spar,229,79,Nyugati ter 1-2,6,Supermarket,06:30-22:00
Liquor stop,350,110,Nyugati ter ,6,Liquor store,07:00-20:00
Tomro KFT.,300,89,Nyugati metro station,6,General store,08:00-20:00
Vegyolt tal,280,89,Nyugati metro station,6,General store,08:00-21:00
Udito edesseg,250,100,Vaci ut 12,6,General store,07:30-20:00
Market point,299,99,Terez korut ,6,General store,07:00-20:00
Prima,289,85,Andrassy 86,6,Supermarket,06:30-21:00
Bella elemiszer,310,99,Aradi utca 34,6,General store,6:00-22:00
Kingo market,260,80,Aradi utca 15,6,General store,8:00-22:00
Aradi elemiszer ,319,99,Aradi utca 9,6,General store,07:00-20:00
Real pont,350,110,Aradi utca 42,6,General store,6:00-22:00
Roni ABC,299,99,Aradi utca 4,6,General store,00:00-24:00
TESCO,229,79,Bajza utca 1,6,Supermarket,07:00-22:00
TESCO,229,79,Nagy Lajos király útja 73-77,14,Supermarket,07:00-22:00
ALDI,229,79,Szugló u. 60-62,14,Grocery store,07:00-22:00
Spar,229,79,Egressy út 178/c,14,Supermarket,06:30-21:00
LIDL,219,79,Mogyoródi út,14,Discount supermarket,06:30-21:00
Prima Recsei,289,85,Istvánmezei út 6,14,Grocery store,07:00-20:00
Prima,289,85,Egressy út 135,14,Grocery store,06:30-21:00
CBA Prima,289,85,Fogarasi út 45-51,14,Grocery store,07:00-21:00
Roni ABC,299,95, Vezér u. 131,14,General store,00:00-24:00
Coop ABC,269,89,Nagy lajos kiraly 42,14,General store,06:00-21:00
Elemiszer,299,79,Nagy lajos kiraly 126,14,General store,08:00-22:00
Coop Szuper,269,89,Egresy ter,14,General store,06:30-20:00
Vegyeskereskedes,210,70,Nagy lajos kiraly utca 84,14,Generl store,07:00-20:00
Kiraly csemege,279,89,Nagy lajos kiraly utca 85,14,General store,07:00-21:00
Szuper Diszkont,269,89,Kalapacs utca 18,14,Discount supermarket,08:00-21:00
Sucar Delikat Express,300,100,Ors vezer tere 24,14,General store,9:00-20:00
Szuper Kinai Aruhaz,290,90,Nagy lajos kiraly utca 21,14,Discount supermarket,9:00-18:00
Akciopont-Zuglo,259,79,Fogarasi ut 15,14,Discount supermarket,00:00-24:00
Lottoso,300,90,Puskas ferenc station,14,General store,8:00-20:00
Lidl,229,79,Mogyorodi ut 23-39,14,Discount supermarket,07:00-21:00
Non-Stop Diszkont,250,89,Fogarasi ut 15a,14,Disocunt supermarket,00:00-24:00