product;price;shop_address;shop_name;chain;open_7_24;district
Heinken;279;Budapest, Erzsébet krt. 7, 1073;Market Point;;yes;7
Heinken;329;Budapest, Wesselényi u. 58, 1077;Golden Élelmiszer;;no;7
Heinken;289;Budapest, Wesselényi u. 60, 1077;Coop;Coop chain;no;7
Heinken;340;Budapest, Huszár u. 5, 1074;"""Zöldséges - Élelmiszer""";;no;7
Heinken;320;Budapest, Izabella u. 5-9, 1077;Családi csemegebolt;Coop chain;no;7
Heinken;319;Budapest, Izabella u. 34, 1077;Roni ABC;Roni ABC chain;yes;7
Heinken;320;Budapest, Király u. 67, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;299;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;320;Budapest, Király u. 91, 1077;Király Csemege;;yes;7
Heinken;280;Budapest, Hevesi Sándor tér 1, 1077;Izabella Diszkont;;no;7
Heinken;350;Budapest, Klauzál u. 1, 1072;Nemzeti Dohánybolt;;yes;7
Heinken;299;Budapest, Dohány u. 44, 1074;Nemzeti Dohánybolt;;yes;7
Heinken;279;Budapest, Erzsébet krt. 19, 1073;Spar;Spar chain;no;7
Heinken;299;Budapest, Erzsébet krt. 26, 1073;Chimpex Diszkont;;no;7
Heinken;269;Budapest, Wesselényi u. 52, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;280;Budapest, Wesselényi u. 56, 1077;Min Yuan;;no;7
Heinken;340;Budapest, Wesselényi u. 61, 1077;Golden Élelmiszer;;no;7
Heinken;270;Budapest, Hársfa u., 1074;MP Prime Market;;no;7
Heinken;320;Budapest, Dohány u. 96, 1074;Atar;;no;7
Heinken;299;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Coke;275;Budapest, Dohány u. 44, 1074;Nemzeti Dohánybolt;;yes;7
Coke;279;Budapest, Erzsébet krt. 19, 1073;Spar;Spar chain;no;7
Coke;299;Budapest, Erzsébet krt. 26, 1073;Chimpex Diszkont;;no;7
Coke;299;Budapest, Wesselényi u. 52, 1077;Nemzeti Dohánybolt;;yes;7
Coke;260;Budapest, Wesselényi u. 56, 1077;Min Yuan;;no;7
Coke;300;Budapest, Wesselényi u. 61, 1077;Golden Élelmiszer;;no;7
Coke;200;Budapest, Hársfa u., 1074;MP Prime Market;;no;7
Coke;300;Budapest, Dohány u. 96, 1074;Atar;;no;7
Coke;290;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Coke;350;Budapest, Klauzál u. 1, 1072;Nemzeti Dohánybolt;;yes;7
Coke;299;Budapest, Erzsébet krt. 7, 1073;Market Point;;yes;7
Coke;299;Budapest, Wesselényi u. 58, 1077;Golden Élelmiszer;;no;7
Coke;299;Budapest, Wesselényi u. 60, 1077;Coop;Coop chain;no;7
Coke;310;Budapest, Huszár u. 5, 1074;"""Zöldséges - Élelmiszer""";;no;7
Coke;280;Budapest, Izabella u. 5-9, 1077;Családi csemegebolt;Coop chain;no;7
Coke;299;Budapest, Izabella u. 34, 1077;Roni ABC;Roni ABC chain;yes;7
Coke;300;Budapest, Király u. 67, 1077;Nemzeti Dohánybolt;;yes;7
Coke;290;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Coke;280;Budapest, Király u. 91, 1077;Király Csemege;;yes;7
Coke;250;Budapest, Hevesi Sándor tér 1, 1077;Izabella Diszkont;;no;7
Heinken;350;Erzsébet Királyné street 109;Liza Market;;no;14
Heinken;290;Erzs Kir 76/A, 1142 Bp.;Mini Coop;Coop chain;no;14
Heinken;340;Erzs Kir 63, 1142 Bp.;Abc-Abc;;no;14
Heinken;279;Erzs Kir 32, 1142 Bp.;Spar;Spar chain;no;14
Heinken;320;Erzs Kir 107, 1142 Bp.;Csemegebolt;;no;14
Heinken;299;Thököly street 122, 1146 Bp.;CBA;CBA chain;no;14
Heinken;295;Thököly street 151, 1146 Bp.;Tesco - expressz;Tesco chain;no;14
Heinken;319;Nagy Lajos kir 212, 1149 Bp.;CBA Príma;CBA chain;no;14
Heinken;290;Nagy Lajos kir. 189, 1149 Bp.;Coop;Coop chain;no;14
Heinken;270;Mexikói út station;Vegyesbolt;;no;14
Heinken;329;Mexikói út station;ABC;;no;14
Heinken;329;Mexikói út station;"""Zöldséges bolt""";;no;14
Heinken;299;Rózsavölgyi sq 9;Reál Pont;Real chain;no;14
Heinken;299;Nagy Lajos street 126, 1149 Bp.;Prémium Élelmiszer;;no;14
Heinken;289;Nagy Lajos street 139, 1149 Bp.;Coop;Coop chain;no;14
Heinken;319;Kassai sq 11., 1142 Bp.;Manna;Manna chain;yes;14
Heinken;305;Kacsoh Pongrác street 133., 1146 Bp;Spar Expressz;Spar chain;yes ;14
Heinken;294;Ungvár street 50;Spar;Spar chain;no;14
Heinken;295;Erzs Kir 125., 1142 Bp;Tesco - expressz;Tesco chain;no;14
Heinken;280;Amerikai street 67., 1145 Bp.;CBA;CBA chain;no;14
Coke;330;Erzsébet Királyné street 109;Liza Market;;no;14
Coke;300;Erzs Kir 76/A, 1142 Bp.;Mini Coop;Coop chain;no;14
Coke;300;Erzs Kir 63, 1142 Bp.;Abc-Abc;;no;14
Coke;229;Erzs Kir 32, 1142 Bp.;Spar;Spar chain;no;14
Coke;300;Erzs Kir 107, 1142 Bp.;Csemegebolt;;no;14
Coke;349;Thököly street 122, 1146 Bp.;CBA;CBA chain;no;14
Coke;275;Thököly street 151, 1146 Bp.;Tesco - expressz;Tesco chain;no;14
Coke;315;Nagy Lajos kir 212, 1149 Bp.;CBA Príma;CBA chain;no;14
Coke;290;Nagy Lajos kir. 189, 1149 Bp.;Coop;Coop chain;no;14
Coke;250;Mexikói út station;Vegyesbolt;;no;14
Coke;299;Mexikói út station;ABC;;no;14
Coke;349;Mexikói út station;"""Zöldséges bolt""";;no;14
Coke;299;Rózsavölgyi sq 9;Reál Pont;Real chain;no;14
Coke;249;Nagy Lajos street 126, 1149 Bp.;Prémium Élelmiszer;;no;14
Coke;269;Nagy Lajos street 139, 1149 Bp.;Coop;Coop chain;no;14
Coke;295;Kassai sq 11., 1142 Bp.;Manna;Manna chain;yes;14
Coke;255;Kacsoh Pongrác street 133., 1146 Bp;Spar Expressz;Spar chain;yes ;14
Coke;249;Ungvár street 50;Spar;Spar chain;no;14
Coke;275;Erzs Kir 125., 1142 Bp;Tesco - expressz;Tesco chain;no;14
Coke;280;Amerikai street 67., 1145 Bp.;CBA;CBA chain;no;14
