Id,Name,Coca_cola_price,Matchstick_price,Shop_size,Parking_lot,Open_24h,Address
1,"Fót, Spar kut",255,19,Big,1,1,"Fót, Szabó Dezső u. 2/B, 2151"
2,"Őrbottyán, Csuri",289,20,Small,1,1,"Őrbottyán, Fő út 68, 2162"
3,GE veresegyhaz,300,25,Big,1,0,"Veresegyház, Kisrét u., 2112"
4,Őrbottyán Avia kut,325,0,Big,1,0,"Őrbottyán, Fő út 9733/2 hrsz"
5,"Őrbottyán, dohanybolt csuri mellett",299,19,Small,1,1,"Őrbottyán, Fő út 68, 2162"
6,Veresegyház varga pékség,280,20,Small,1,0,"Veresegyház, Ráday u. 2, 2112"
7,Veresegyház süni,300,20,Big,1,1,"Veresegyház, Fő út 70, 2112"
8,Veresegyház spar,229,19,Big,1,0,"Veresegyház, Gödöllői út 2/a, 2112"
9,Veresegyház omv kut,369,0,Small,1,1,"Veresegyház, Szadai u. 2, 2112"
10,Veresegyház MOL kut,409,35,Small,1,0,"Veresegyház, Fő út, 2112"
11,Veresegyház mester hamburger,350,0,Big,1,0,"Veresegyház, Fő út 53, 2112"
12,Veresegyház grillburger,350,0,Small,0,0,"Veresegyház, Ráday u. 8, 2112"
13,Veresegyház profi áruház,309,19,Big,1,0,"Veresegyház, Fő út 49, 2112"
14,Őrbottyán cba,269,20,Big,1,0,"Őrbottyán, u 2162, Rákóczi Ferenc u. 128, 2162"
15,Őrbottyán coop,309,20,Big,1,0,"Őrbottyán, Rákóczi Ferenc u. 165, 2162"
16,Őrbottyán dohanybolt allomas,300,20,Small,0,1,"Őrbottyán, Rákóczi Ferenc u. 134, 2162"
17,Őrbottyán dohanybolt allatosbot,300,20,Small,0,0,"Őrbottyán, Rákóczi Ferenc u. 119, 2162"
18,Őrbottyán kisbolt autoszerelo,300,20,Small,1,0,"Őrbottyán, Rákoczi Ferenc u. 100, 2162"
19,Őrbottyán pekseg,300,20,Small,0,1,"Őrbottyán, Fő út 62, 2162"
20,Veresegyház dohanybolt spar,350,20,Small,1,0,"Veresegyház, Szadai u. 1, 2112"
21,Paprika Market,650,65,Big,0,0,"Budapest, Vörösmarty tér 1, 1051"
22,Roni ABC,345,0,Small,0,1,"Budapest, Sas u. 1, 1051"
23,Manna ABC,360,53,Big,0,1,"Budapest, Vámház krt. 16, 1053"
24,Culinaris Parlament,599,0,Big,0,0,"Budapest, Balassi Bálint u. 7, 1055"
25,Príma,339,49,Big,0,0,"Budapest, József Attila u. 16, 1051"
26,Manna ABC,339,57,Big,0,0,"Budapest, Podmaniczky u. 1-3, 1065"
27,SPAR,229,29,Small,0,0,"Budapest, Vértanúk tere 1, 1054"
28,ALDI,239,29,Small,0,0,"Budapest, Báthory utca 8, 1054"
29,CMAK orosz bolt,350,0,Smal,0,0,"Budapest, Apáczai Csere János u. 1, 1052"
30,Garibaldi ABC,299,35,Small,0,0,"Budapest, Garibaldi u. 7, 1054"
31,Hungarikum Pont-Zsóka Boltja,379,0,Small,0,0,"Budapest, Bank u. 6, 1054"
32,City SPAR,229,29,Big,0,0,"Budapest, Károly krt. 22-24, 1052"
33,Gold Delicatesse,339,57,Small,0,1,"Budapest, Arany János u. 33, 1051"
34,Nemzeti Dohánybolt,319,45,Small,0,0,"Budapest, Nádor u. 14, 1051"
35,National tobacco shop,319,50,Small,0,1,"Budapest, Báthory utca 10, 1054"
36,National tobacco shop,319,45,Small,0,0,"Budapest, József Attila u. 22, 1051"
37,"COOP mini
",339,65,Small,0,0,"Budapest, Apáczai Csere János u. 5, 1051"
38,"LIDL
",219,25,Big,0,,"Budapest, Ferenciek tere 2, 1053"
39,ALDI,239,29,Big,0,0,"Budapest, Kossuth Lajos u. 13, 1053"
40,REPLAY,350,0,Small,0,0,"Budapest, Bajcsy-Zsilinszky út 5"